name,address,price,comment
复兴老茶馆,'茶馆|黄龙溪',人均'￥12','145'条评价
云阙茶舍,'茶馆|东升镇',人均,'29'条评价
言茗茶,'茶馆|华阳',人均'￥67','67'条评价
南贝山茶(兴隆湖店),'茶馆|华阳',人均'￥94','50'条评价
天之毓茶社·正山堂,'茶馆|华阳',人均'￥49','42'条评价
爱琴海茶楼(万顺路保利叶语店),'茶馆|天府新区',人均'￥32','16'条评价
吾舍·无人茶室(蓝润店),'茶馆|天府新区',人均'￥45','44'条评价
圣和茶府(中德店),'茶馆|华阳',人均,'18'条评价
隐庐YIN LU,'茶馆|天府新区',人均'￥64','31'条评价
方乐,'茶馆|华阳',人均'￥315','16'条评价
映月华府茶楼,'茶馆|天府新区',人均'￥21','10'条评价
一己晓茶,'茶馆|双流机场',人均,'14'条评价
南贝山茶(麓坊店),'茶馆|华阳',人均,'16'条评价
三观塘茶府,'茶馆|华阳',人均,'40'条评价
凤岛小雅文化院,'茶馆|黄龙溪',人均,'10'条评价
蜀茗居茶楼,'茶馆|天府新区',人均,'10'条评价
彭镇老茶馆,'茶馆|双流区其他',人均,'591'条评价
芸溪茶舍,'茶馆|航空港',人均'￥66','21'条评价
9号咖啡会所·品茗·棋牌,'茶馆|天府新区',人均,条评价
积木茶府,'茶馆|华阳',人均'￥22','10'条评价
素池·茶叙居,'茶馆|东升镇',人均'￥46','37'条评价
八九月茶事,'茶馆|城南优品道广场',人均'￥35','24'条评价
观音阁百年老茶馆,'茶馆|双流区其他',人均,'248'条评价
圣露茶行(天府大道店),'茶馆|天府新区',人均'￥64','187'条评价
云烟·茶社,'茶馆|航空港',人均,'13'条评价
江安河盖碗茶社,'茶馆|航空港',人均,'2'条评价
粼鹭,'茶馆|华阳',人均,'17'条评价
漫花时间茶楼,'茶馆|航空港',人均,'36'条评价
御府茶缘(圣菲店),'茶馆|航空港',人均,'5'条评价
山里喝茶花礼器皿,'茶馆|中和',人均'￥39','21'条评价
柒悦坊,'茶馆|华阳',人均,'7'条评价
御府茶缘(中丝园店),'茶馆|华阳',人均,'4'条评价
润和堂茶舍,'茶馆|东升镇',人均,'13'条评价
蒙顶山茶赫山茶社,'茶馆|中和',人均,条评价
广宾大茶楼,'茶馆|东升镇',人均,'19'条评价
草木人茶府,'茶馆|华阳',人均,'13'条评价
水云间茶楼,'茶馆|中和',人均,'36'条评价
如是茶屋,'茶馆|华阳',人均,'9'条评价
锦蓉阁茶楼,'茶馆|蛟龙港/海滨城',人均,'24'条评价
壶光水色,'茶馆|华阳',人均'￥30','37'条评价
为今阁茶楼,'茶馆|华阳',人均,条评价
廊桥茶府,'茶馆|华阳',人均,'30'条评价
茗缘阁茶楼,'茶馆|中和',人均,'13'条评价
紫薇海茶舍,'茶馆|东升镇',人均,'2'条评价
聚友堂,'茶馆|天府新区',人均'￥26','10'条评价
俞昌号,'茶馆|华阳',人均,'9'条评价
中玉亿达,'茶馆|东升镇',人均,'14'条评价
港海茶楼,'茶馆|蛟龙港/海滨城',人均,'16'条评价
沧浪亭,'茶馆|天府新区',人均'￥77','45'条评价
海之韵茶府,'茶馆|天府新区',人均,条评价
龙润茶(天府店),'茶馆|华阳',人均,条评价
其香居茶馆,'茶馆|黄龙溪',人均'￥18','15'条评价
孟塘里茶舍,'茶馆|东升镇',人均,条评价
锦园茶舍,'茶馆|航空港',人均,'13'条评价
竹廷茶府,'茶馆|华阳',人均,条评价
宏韵逸香茶府,'茶馆|天府新区',人均'￥25','20'条评价
半缘茶楼,'茶馆|航空港',人均,条评价
介然茶府,'茶馆|华阳',人均,'3'条评价
大益茶体验馆(远大店),'茶馆|华阳',人均,'9'条评价
皇冠茶室,'茶馆|天府新区',人均,'20'条评价
清溪茶社,'茶馆|华阳',人均,'20'条评价
八马茶业(翰林公寓店),'茶馆|东升镇',人均,'7'条评价
后村功夫茶,'茶馆|城南优品道广场',人均,'6'条评价
赛仑吉地大酒店.吉普赛风情茶楼,'茶馆|蛟龙港/海滨城',人均,'15'条评价
逸间自助茶室(四河美高登店),'茶馆|华阳',人均,条评价
五福全茶馆,'茶馆|华阳',人均'￥27','14'条评价
南湖紫轩茶楼,'茶馆|天府新区',人均,'10'条评价
乐筹吧,'茶馆|天府新区',人均'￥24','12'条评价
尚饮茶楼,'茶馆|双流万达',人均,'8'条评价
山泉茶府,'茶馆|天府新区',人均,条评价
众茗阁茶楼,'茶馆|蛟龙港/海滨城',人均,'5'条评价
银港茶楼,'茶馆|航空港',人均,'4'条评价
逸都茶楼,'茶馆|四川大学江安校区',人均,条评价
和乐美休闲会所,'茶馆|天府新区',人均,'2'条评价
品艺茗都茶府,'茶馆|东升镇',人均,条评价
雅瓷(成都海滨城店),'茶馆|蛟龙港/海滨城',人均,条评价
颐和茶府,'茶馆|中和',人均,'3'条评价
沁云茶府,'茶馆|中和',人均,'6'条评价
兰梅老仓茶业,'茶馆|东升镇',人均'￥62','7'条评价
君尚阁茶府,'茶馆|华阳',人均,'6'条评价
峨眉雪芽·峨眉山高山林间茶,'茶馆|双流机场',人均,'6'条评价
静雅轩茶楼,'茶馆|航空港',人均,条评价
广都忆品,'茶馆|东升镇',人均,条评价
茗人茶楼,'茶馆|华阳',人均,'2'条评价
隆樾湾茶楼,'茶馆|城南优品道广场',人均,条评价
港湾茶坊,'茶馆|东升镇',人均,条评价
根据地茶楼,'茶馆|航空港',人均,'2'条评价
聚贤阁茶楼,'茶馆|航空港',人均,条评价
清心坊,'茶馆|东升镇',人均,'12'条评价
星光茶楼,'茶馆|东升镇',人均,'3'条评价
名人坊茶楼(城北中街店),'茶馆|东升镇',人均,'5'条评价
御阁茶府,'茶馆|蛟龙港/海滨城',人均,'5'条评价
空港茶府,'茶馆|航空港',人均,条评价
景和茶府(警官学院站金华一号店),'茶馆|天府新区',人均,条评价
茗雅居茶府,'茶馆|中和',人均,'4'条评价
天韵茶楼,'茶馆|华阳',人均,'4'条评价
1818茶社,'茶馆|航空港',人均,'2'条评价
棠湖茶缘,'茶馆|东升镇',人均,'2'条评价
先生茶府,'茶馆|东升镇',人均,'2'条评价
云熙茶府,'茶馆|华阳',人均,'4'条评价
玉壶茶坊,'茶馆|天府新区',人均,条评价
满座茶楼,'茶馆|东升镇',人均,'2'条评价
锦熹,'茶馆|华阳',人均,'2'条评价
悦海堂茶府,'茶馆|东升镇',人均,条评价
顺馨居茶楼,'茶馆|华阳',人均,'3'条评价
壹盏茗茶,'茶馆|华阳',人均,条评价
祥特茶楼,'茶馆|东升镇',人均,'3'条评价
茗都汇茶坊,'茶馆|天府新区',人均,'7'条评价
尚饮茶坊,'茶馆|华阳',人均,'2'条评价
锦鑫茶楼机麻,'茶馆|双流区其他',人均,条评价
勐巴拉御木阁,'茶馆|华阳',人均,条评价
茶故事茶楼,'茶馆|双流万达',人均,'3'条评价
尚合茶楼,'茶馆|双流万达',人均,'4'条评价
九禾茶楼,'茶馆|东升镇',人均,条评价
沁心茶楼(朝阳路店),'茶馆|中和',人均,'2'条评价
合枫茶楼,'茶馆|华阳',人均,'6'条评价
佳韵茶府,'茶馆|航空港',人均,'3'条评价
