name,comment,price,address
荼舍,'21'条评价,人均'￥54','桐梓林'
复兴老茶馆,'145'条评价,人均'￥12','黄龙溪'
墙边边,'128'条评价,人均'￥37','西街/南街'
水本無香·精品茶轩(科华中路店),'23'条评价,人均None,'科华中路王府井'
盖碗儿·梨园茶馆川剧变脸表演,'2154'条评价,人均'￥136','天府广场/盐市口'
大慈茶社,'1368'条评价,人均'￥38','大慈寺'
余生茶事,'6'条评价,人均None,'双楠'
云山隐庐,'170'条评价,人均'￥47','玉林/芳草街'
則一處·中華清飲茶(吉祥街店),'182'条评价,人均'￥32','宽窄巷子'
大益茶体验馆(一品天下店),None条评价,人均None,'茶店子'
晓竹轩茶空间,'101'条评价,人均'￥35','凤凰大街'
云阙茶舍,'29'条评价,人均None,'东升镇'
无住茶社,'5'条评价,人均None,'三圣乡'
云作茶空间,'316'条评价,人均'￥96','都江堰其他'
遵生小院(桂溪公园店),'193'条评价,人均'￥61','高新区'
name,comment,price,address
近悦小庐(鹭岛店),'55'条评价,人均'￥73','双楠'
复兴老茶馆,'145'条评价,人均'￥12','黄龙溪'
墙边边,'128'条评价,人均'￥37','西街/南街'
水本無香·精品茶轩(科华中路店),'23'条评价,人均None,'科华中路王府井'
盖碗儿·梨园茶馆川剧变脸表演,'2154'条评价,人均'￥136','天府广场/盐市口'
大慈茶社,'1368'条评价,人均'￥38','大慈寺'
荼舍,'21'条评价,人均'￥54','桐梓林'
云山隐庐,'170'条评价,人均'￥47','玉林/芳草街'
則一處·中華清飲茶(吉祥街店),'182'条评价,人均'￥32','宽窄巷子'
无住茶社,'5'条评价,人均None,'三圣乡'
晓竹轩茶空间,'101'条评价,人均'￥35','凤凰大街'
云作茶空间,'316'条评价,人均'￥96','都江堰其他'
大益茶体验馆(一品天下店),None条评价,人均None,'茶店子'
言茗茶,'67'条评价,人均'￥67','华阳'
遵生小院(桂溪公园店),'193'条评价,人均'￥61','高新区'
